# Engine name: 
# Thu Sep 4 20:43:00 2025
#
#************************************************************************************************************************************************************************************
# Results of nested analysis
#------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
# Ratio, O/F     pc, psi  Nozzle inl  Nozzle exi  rho, kg/m^       Tc, K           M       gamma           k     c*, m/s   Is opt, s   Is vac, s      Cf opt      Cf vac    c.factor 
#------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
     0.5000    517.0000      3.0000     10.0000      0.0000   1191.1903     16.4289      1.2972      1.1691   1210.3403    197.8017    218.0160      1.6027      1.7665      1.0000 
     0.5000    524.0000      3.0000     10.0000      0.0000   1192.1889     16.4348      1.2974      1.1692   1210.6014    198.1064    218.2661      1.6048      1.7681      1.0000 
     0.5000    531.0000      3.0000     10.0000      0.0000   1193.1756     16.4407      1.2975      1.1692   1210.8590    198.4062    218.5124      1.6069      1.7697      1.0000 
     0.5000    538.0000      3.0000     10.0000      0.0000   1194.1506     16.4465      1.2976      1.1693   1211.1131    198.7015    218.7550      1.6089      1.7713      1.0000 
     0.5500     90.0000      3.0000     10.0000      0.0000   1109.0218     15.4515      1.2562      1.1750   1203.1020    153.1795    184.2505      1.2486      1.5019      1.0000 
     0.5500     97.0000      3.0000     10.0000      0.0000   1113.5608     15.4750      1.2577      1.1751   1204.5638    155.6524    186.0485      1.2672      1.5147      1.0000 
     0.5500    104.0000      3.0000     10.0000      0.0000   1117.8263     15.4972      1.2591      1.1753   1205.9264    157.9103    187.7061      1.2841      1.5264      1.0000 
     0.5500    111.0000      3.0000     10.0000      0.0000   1121.8511     15.5183      1.2604      1.1754   1207.2024    159.9854    189.2424      1.2996      1.5373      1.0000 
     0.5500    118.0000      3.0000     10.0000      0.0000   1125.6625     15.5382      1.2617      1.1755   1208.3907    161.9034    190.6729      1.3139      1.5474      1.0000 
     0.5500    125.0000      3.0000     10.0000      0.0000   1129.2833     15.5572      1.2628      1.1756   1209.5244    163.6851    192.0105      1.3271      1.5568      1.0000 
     0.5500    132.0000      3.0000     10.0000      0.0000   1132.7327     15.5753      1.2639      1.1757   1210.5977    165.3474    193.2658      1.3394      1.5656      1.0000 
     0.5500    139.0000      3.0000     10.0000      0.0000   1136.0270     15.5926      1.2650      1.1758   1211.6167    166.9043    194.4477      1.3509      1.5738      1.0000 
     0.5500    146.0000      3.0000     10.0000      0.0000   1139.1804     15.6093      1.2659      1.1760   1212.5866    168.3677    195.5639      1.3617      1.5816      1.0000 
     0.5500    153.0000      3.0000     10.0000      0.0000   1142.2052     15.6253      1.2669      1.1761   1213.5121    169.7475    196.6210      1.3718      1.5889      1.0000 
     0.5500    160.0000      3.0000     10.0000      0.0000   1145.1120     15.6407      1.2678      1.1762   1214.3969    171.0521    197.6244      1.3813      1.5959      1.0000 
     0.5500    167.0000      3.0000     10.0000      0.0000   1147.9102     15.6555      1.2686      1.1763   1215.2445    172.2888    198.5792      1.3903      1.6025      1.0000 
     0.5500    174.0000      3.0000     10.0000      0.0000   1150.6081     15.6699      1.2694      1.1764   1216.0579    173.4640    199.4895      1.3989      1.6087      1.0000 
     0.5500    181.0000      3.0000     10.0000      0.0000   1153.2130     15.6838      1.2702      1.1765   1216.8399    174.5830    200.3590      1.4070      1.6147      1.0000 
     0.5500    188.0000      3.0000     10.0000      0.0000   1155.7315     15.6972      1.2710      1.1767   1217.5926    175.6507    201.1911      1.4147      1.6204      1.0000 
     0.5500    195.0000      3.0000     10.0000      0.0000   1158.1695     15.7102      1.2717      1.1768   1218.3183    176.6713    201.9887      1.4221      1.6259      1.0000 
     0.5500    202.0000      3.0000     10.0000      0.0000   1160.5322     15.7229      1.2724      1.1769   1219.0188    177.6485    202.7544      1.4291      1.6311      1.0000 
